daeyŏsŏt,대여섯,56の五六の56のごろくの56nogorokuno
daeyŏsŏt,대여섯,56の五六の56のごろくの56nogorokuno
sibyuk,십육,161616
sibyuk,십육,161616
－(ŭ)ro hayŏgŭm ～ge hada,－(으)로 하여금 ～게 하다,
gŏ bwayo,거 봐요,
gŏp(do) ŏpsi,겁(도) 없이,
gŭrŏta haedo,그렇다 해도,
nunman ttŭmyŏn,눈만 뜨면,
3iljang,3일장,
gagwan,가관,
gasŏrŭl sŭda,가설을 세우다,
urine,우리네,
wit,윗,
gat,갓,
gwanhaesŏ,관해서,
－(ŭ)ㄴ/nŭn gŏtchŏrŏm,－(으)ㄴ/는 것처럼,
(i)na,(이)나,
(i)rang,(이)랑,
gada,가다,
galda,갈다,
gamssa anda,감싸 안다,
ganmyŏnghada,간명하다,
gesŭmchŭrehada,게슴츠레하다,
gongyŏnhada,공연하다,
mat,맏,
jjae,째,
byŏlkkol da boda,별꼴 다 보다,
gamsopok,감소폭,
gŏrŭm,거름,
gyŏnggyegyŏngbo,경계경보,
gongmyŏngŭm,공명음,
gwangbu,광부,
gyodubu,교두부,
gunjuje,군주제,
gunggŭkjŏk,궁극적,
gŭpdŭngse,급등세,
gŭprakjang,급락장,
gŭphaengyŏlcha,급행열차,
girokmul,기록물,
nalgaetjukji,날갯죽지,
nŏndŏri,넌더리,
重複,重複,
nonsuljido,논술지도,
dansŭng,단승,
danyŏk,단역,
danjjak,단짝,
damsuho,담수호,
daechŏbŏp,대처법,
dŭngchi,등치,
ttorae,또래,
ttŭt,뜻,
makdarŭn gil,막다른 길,
manchu,만추,
mŏnge,멍에,
myŏngsŏng,명성,
myŏt dal,몇 달,
mudae,무대,
mudaee sŏda,무대에 서다,
mudaee orŭda,무대에 오르다,
musingyŏng,무신경,
mujutaek,무주택,
mulryanggongse,물량공세,
bangap,반값,
bandaeyul,반대율,
balkkŭt,발끝,
bamsaem hyŏpsang,밤샘 협상,
bŏmbŏk,범벅,
byŏnhyŏkgi,변혁기,
byŏngsŏk,병석,
botongnaegi,보통내기,
boksuhyŏng,복수형,
bu,부,
bulbok,불복,
saengsanja,생산자,
sŏnipgŭm,선입금,
sepa,세파,
susok,수속,
suniik,순이익,
sŭtŭraikŏ,스트라이커,
sikjajae,식자재,
amhaeng,암행,
yakhonnyŏ,약혼녀,
yŏrŏ gunde,여러 군데,
yŏhaeng jakga,여행 작가,
yŏkbanghyang,역방향,
ogam,오감,
obok,오복,
ol,올,
otgorŭm,옷고름,
onggojip,옹고집,
oesaeng byŏnsu,외생 변수,
oejultagi,외줄타기,
yokjigŏri,욕지거리,
yongyŏk,용역,
uritim,우리팀,
yumo,유모,
ŭngdapryul,응답률,
isanghyang,이상향,
ingyŏn,인견,
ingwasŏng,인과성,
jache,자체,
jaŏe gukmin,재외 국민,
jŏnmolja,전몰자,
jumindŭngrok,주민등록,
julgisepo,줄기세포,
jungjja,중짜,
jŭnggayul,증가율,
jŭngsonja,증손자,
jigecha,지게차,
jikhangro,직항로,
jjok,쪽,
changdan,창단,
chŏnnyŏnmannyŏn,천년만년,
chodaehyŏng,초대형,
chorongbul,초롱불,
chulgang,출강,
chulgu josa,출구 조사,
chwiŏpnan,취업난,
chimsul,침술,
kotdŭng,콧등,
tosanpum,토산품,
pyŏnghwa,평화,
poja,포자,
pyosidŭng,표시등,
pungdŭng,풍등,
hanguk ŭmsik,한국 음식,
haesŏl wiwon,해설 위원,
haeja,해자,
haengjŏngga,행정가,
hyŏpdongjohap,협동조합,
hoŭng,호응,
hotibul,홑이불,
hwagi,화기,
hwangryang,황량,
hyugatgil,휴갓길,
gipsugi,깊숙이,
namjisi,남짓이,
nŏmu,너무,
daegangdaegang,대강대강,
daehae,대해,
dodohi,도도히,
magyŏnhi,막연히,
bukjjŏkbukjjŏk,북쩍북쩍,
ppiakppiak,삐악삐악,
saenggŭlsaenggŭl,생글생글,
sŭlgŭmsŭlgŭm,슬금슬금,
agwiagwi,아귀아귀,
ogŭrogŭl,오글오글,
jal,잘,
jomchŏrŏm,좀처럼,
julgot,줄곧,
jjonggŭt,쫑긋,
chalssak,찰싹,
poksak,폭삭,
hoho,호호,
holjjakholjjak,홀짝홀짝,
kkŏnaedŭlda,꺼내들다,
nakgwanhada,낙관하다,
nangsonghada,낭송하다,
nŭlryŏ nagada,늘려 나가다,
dalgŭrakgŏrida,달그락거리다,
daegwanhada,대관하다,
doesaranada,되살아나다,
dŭngpanhada,등판하다,
ttŏnada,떠나다,
ttuiuda,띄우다,
miŏtŏjida,미어터지다,
milryŏnada,밀려나다,
batda,받다,
bŏnyŏkdoeda,번역되다,
salpyŏ gada,살펴 가다,
sŏsŏngida,서성이다,
sipandoeda,시판되다,
ssoeda,쐬다,当たるあたるataru
aljjanggŏrida,알짱거리다,
jŏnihada,전이하다,
juhyohada,주효하다,
junggaehada,중개하다,
jikgyŏkhada,직격하다,
jibŏsamkida,집어삼키다,
chambaehada,참배하다,
kŏmbaekhada,컴백하다,
toeimhada,퇴임하다,
tusinhada,투신하다,
tŭida,트이다,
pokgyŏkhada,폭격하다,
hanggŏhada,항거하다,
hyŏngsŏngdoeda,형성되다,
huljjŏgida,훌쩍이다,
nongmilhada,농밀하다,
demyŏndemyŏnhada,데면데면하다,
mangsinida,망신이다,
mŏjianta,머지않다,
mŏsitda,멋있다,
mekehada,메케하다,
mukmukhada,묵묵하다,
bukkŭrŏpda,부끄럽다,
saetnorata,샛노랗다,
sippŏlgŏta,시뻘겋다,
akdokhada,악독하다,
yapsaphada,얍삽하다,
ŏnulhada,어눌하다,
ŏryŏpda,어렵다,
ŏmhokhada,엄혹하다,
yŏmryŏsŭrŏpda,염려스럽다,
