-ical; -ive; -al; -ic; -y,teki,的
"-ing and -ing (e.g. ""coming and going"")",dari,だり
"-ing and -ing (e.g. ""coming and going"")",tari,たり
-ish; -like,ppo,っぽ
-ish; -like,ppoi,っぽい
-ish; -like; resembling; appearing to be; seeming to be,rashiki,らしき
-less; lacking; non-existing,naki,無き
-like; sort of; similar to; resembling,mitai,みたい
-made; make,sei,製
-off (price reduction),biki,びき
-proof; -resistant,tai,耐
-smell; stinking of,shū,臭
-th (e.g. one fifth),funno,分の
... and eastward; east of,itou,以東
... and westward; west of,isei,以西
... years since construction; ... years old (of a building),chiku,築
(a) life; (a) command,ichimei,一命
(a) little; somewhat; somehow,nandaka,何だか
(a) minute,ichibu,一分
(a) step; one step,ippo,一歩
(a) stop (e.g. in a timber jointor at the end of a kanji stroke),tome,止め
(a) stop (e.g. in a timber jointor at the end of a kanji stroke),tome,留め
(abbr) Kyoto University,kyoudai,京大
(abbr) Waseda University,soudai,早大
(about) middle; midway,nakahodo,中程
(abstract) symbol; emblem; representation,shouchou,象徴
(academic) degree,gakui,学位
(act of) building (templemonumentetc.); erection,konryū,建立
(adding) extra fertilizer or manure (fertiliser),oe,追え
(air or sea) route; course; line; run,kouro,航路
(aircraft) hangar,kakunouko,格納庫
(all) together,morotomo,諸共
(ammunition) cartridge; shell case,yakkyou,薬莢
(amount of) rainfall,uryou,雨量
(an) authority; (a) source; (written) reference,tenkyo,典拠
(ancient) Japan,yamato,やまと
(ancient) Japan,yamato,大和
(animal) feed; fodder; pet food,esa,餌
(another's) daughter,ojousama,お嬢様
(another's) son,shisoku,子息
(any) particular; notable; noteworthy; significant; considerable,saseru,させる
(apportioning) in small amounts,koide,小出
(approximate) age; years,nenpai,年配
(approximate) time; around; about; toward,koro,ころ
(approximate) time; around; about; toward,goro,ごろ
(approximate) time; around; about; toward,goro,頃
(archaeological) remains; remnants (of ancient structures); ancient foundation,ikou,遺構
(archeological) remains; ruins; relics,iseki,遺跡
(army) division,shidan,師団
(army) provisions; food,hyourou,兵糧
(art of) fencing; swordsmanship,kenjutsu,剣術
(attacking and) sinking (a ship); sending (a ship) to the bottom,gekichin,撃沈
(audio) recording,rokuon,録音
(balance) scales,tenbin,天秤
(bank) president,toudori,頭取
(bearing a) close resemblance; vivid reminder (e.g. of the past),houfutsu,彷彿
(bearing a) close resemblance; vivid reminder (e.g. of the past),houfutsutaru,彷彿たる
(being in) the black; surplus,kuroji,黒字
(being in) the red; deficit,akaji,赤字
(being) out of range (e.g. mobile networkradarmissiles); (being) out of contention; (being) beyond influence,kengai,圏外
(being) within range (radiocommutingetc.); (being) within the sphere (e.g. of influence),kennai,圏内
(body) weight,taijū,体重
(Buddhist) lecture meeting,kou,講
(building) stone,sekizai,石材
(cannot) possibly; (not) by any means; (not) at all; utterly; absolutely,toutei,到底
(circular) tour; round trip; excursion,shūyū,周遊
(college) president; secretary-general,souchou,総長
(coming to an) agreement; consent; mutual understanding; accord; consensus,goui,合意
(committee) chairman; president,iinchou,委員長
(common) cold; influenza; flu; ague; inflammatory respiratory system illness (in general),kaze,かぜ
(common) cold; influenza; flu; ague; inflammatory respiratory system illness (in general),kaze,風邪
(common) soldier; rank and file,hei,兵
(common) use (of a languagecurrencyetc.); current use; circulation; currency; validity (e.g. of a ticket),tsūyou,通用
(company) director; executive; top management,jūyaku,重役
(Confucian) scholar,seki,碩
(Confucian) temple; church; sanctuary,seidou,聖堂
(corporate) bankruptcy; insolvency; commercial failure; failed business,tousan,倒産
(courteous) invitation; call,shouhei,招聘
(cow's) milk,gyūnyū,牛乳
(criminal) punishment; penalty; sentence,keibatsu,刑罰
(dead) body; corpse; remains,itai,遺体
(death from) starvation; starving to death,gashi,餓死
(direct) hit; hitting the mark,meichū,命中
(distant) future,mirai,未来
(divine) revelation,keiji,啓示
(doing) as one pleases; to one's heart's content; letting (something) go unchecked; leaving uncontrolled; leaving (something) to take its own course,houdai,放題
(Earth's) crust,chikaku,地殻
(East Asian) rainy season (in Japanusu. from early June to mid-July),tsuyu,梅雨
(editorial) supervision; general editorship,kanshū,監修
(Edo-period) chief minister,tairou,大老
(Edo-period) town magistrate,machibugyou,町奉行
(electrical) excitation,reiki,励起
(encouragement of) industry,kangyou,勧業
(factory) worker,kou,工
(family) crest; coat of arms,mon,紋
(feeling of) indebtedness; feeling obliged,oi,負い
(feeling of) loneliness; desolation,sabishisa,寂しさ
(feelings of) love,koigokoro,恋心
(female) nurse,kangofu,看護婦
(festivity) page,chigo,稚児
(field) marshal; (fleet) admiral; general of the army,gensui,元帥
(financial) settlement; squaring accounts; clearing debts,seisan,清算
(fixing) boundaries for religious practices,kekkai,結界
(flower) bud,tsubomi,つぼみ
(flower) petal,kaben,花弁
(for something) to have occurred; to have done (something),kotogaaru,ことがある
(for the) whole month,gatsuchū,月中
(foreign) trade; (international) commerce; importing and exporting,boueki,貿易
(formal) meeting with a view to marriage; interview with a prospective spouse,miai,見合い
(former) Ministry of Health and Welfare,kouseishou,厚生省
(former) Ministry of International Trade and Industry (now Ministry of EconomyTrade and Industry); MITI,tsūsan,通産
(full) name; family name and given name,seimei,姓名
(full) name; identity,shimei,氏名
(garden) cemetery; park-style cemetery; memorial park,reien,霊園
(giving) birth; childbirth; delivery; confinement,san,産
(giving) birth; childbirth; delivery; confinement,un,産ん
(giving) instruction (esp. in the secrets of an artdisciplineetc.); initiation; teaching; passing on; imparting,denju,伝授
(good) result; outcome; fruits (of one's labors); product; accomplishment,seika,成果
(governmental) branch office; subprefecture,shichou,支庁
(gun) battery; fort,houdai,砲台
(hand-to-hand) fight; grapple; scuffle; tussle,kakutou,格闘
(handling) fee; charge (e.g. for a cancellation); commission; brokerage,tesūryou,手数料
(hard) candy; toffee,ame,飴
(head) clerk,bantou,番頭
(Hokkaido) prefectural; managed by the Hokkaido prefectural government,douritsu,道立
(hospital) ward,byoutou,病棟
(how) many times; (how) often,ikudo,幾度
(human) life,jinmei,人命
(husked grains of) rice,kome,こめ
(if) by some chance; by some possibility; in the unlikely event that; 10000 to 1,mangaichi,万が一
(imperial) edict,chokurei,勅令
(imperial) reign; period,miyo,みよ
(in a) long time; long time (ago); while (ago); long ago; long while (ago); (in a) long while,hisabisa,久々
(in one's) possession,shozou,所蔵
(in the) neighbourhood; neighborhood; vicinity; nearby; surroundings,aze,畔
(in the) neighbourhood; neighborhood; vicinity; nearby; surroundings,atari,あたり
(in the) neighbourhood; neighborhood; vicinity; nearby; surroundings,atari,辺り
(in) one's own way,jibunnari,自分なり
(in) the middle of; (in) the midst of; (in) the course of; (at) the height of,saichū,最中
(incoming) attack; raid; invasion; assault,raishū,来襲
(indoor) heating,danbou,暖房
(inflectional) ending of a word,gobi,語尾
(instrumental) solo; recital,dokusou,独奏
(Internet) troll; disturber,arashi,荒らし
(Japanese) empress; queen,kougou,皇后
(Japanese) Meteorological Agency; JMA,kishouchou,気象庁
(judicial) precedent,hanrei,判例
(large) building; public building; hall,kan,館
(large) compilation,shūtaisei,集大成
(large) house; residence; mansion,teitaku,邸宅
(large) parrot (incl. the cockatoo),oumu,鸚鵡
(licensed) teacher,kyouyu,教諭
(living) sacrifice,ikenie,生贄
(logical) equivalence,douchi,同値
(logical) true; regular,sei,正
(logical) true; regular,shoujikurai,正二位
(lucky) find; bargain; good buy; treasure trove,hori,掘り
(main building of a) Shinto shrine,shaden,社殿
(major) mark; level; barrier,oodai,大台
(male) actor,danyū,男優
(male) farmer; peasant; farmhand,noufu,農夫
(manufacturing) industry,kougyou,工業
(many) mountains,yamayama,山々
(many) trees; every tree; all kinds of trees,kigi,木々
(mark indicating) a win,kachiboshi,勝ち星
(medical) specialist,senmon'i,専門医
(medical) treatment; care; therapy; cure; remedy,chiryou,治療
(medieval) knight,kishi,騎士
(Meiji era) official responsible for court ceremonies,shikibu,式部
(member of the) yakuza; gangster; mobster,yakuza,やくざ
(mental) agony; anguish; suffering; distress,kunou,苦悩
(mental) attitude; way of thinking; attention; care; prudence; intention,kokorogake,心がけ
(metal) mine,kanayama,金山
(metropolitan) prefecture (i.e. Osaka and Kyoto),fu,府
(metropolitan) prefecture (i.e. Osaka and Kyoto),fushukyou,府主教
(moment of) departure; (upon) leaving; retirement,sari,去り
(moral) decay; (social) decline; decadence; corruption; degeneration; deterioration,taihai,退廃
(mountain) pass; highest point on a mountain road; ridge,touge,峠
(mountain) ridge,one,尾根
(musical) accompaniment,bansou,伴奏
(musical) time; tempo; beat; rhythm,hyoushi,拍子
(my) wife,kanai,家内
(national) census,kokuseichousa,国勢調査
(natural) satellite; moon,mamoru,衛
(natural) satellite; moon,eisei,衛星
(naval) fleet; armada,kantai,艦隊
(naval) sailor,suihei,水兵
(navigable) canal; waterway,unga,運河
(next-door) neighbour; neighbor,otonari,お隣
(noble's) page,koshou,小姓
(not so) much; (not) very,taishite,たいして
(not) always; (not) necessarily; (not) entirely; (not) all,kanarazushimo,必ずしも
(not) anything; (nothing) at all; (not) any; nothing,nanimo,何も
(not) ever; (not) by any means; (not) in the least; (not) in any way; (not) at all,kesshite,決して
(not) in any way; (not) at all; (none) whatsoever,nanra,なんら
(not) in any way; (not) at all; (none) whatsoever,nanra,何ら
(not) particularly; (not) especially; (not) specially,betsuni,別に
(not) so; (not) particularly; (not) very; (not) that much,sahodo,さほど
(nth) power,jou,乗
(of) Japanese descent,nikkei,日系
(official) commendation; public recognition (of someone's achievementsgood deedsetc.); awarding; honouring,hyoushou,表彰
(on one's) mind; heed,nentou,念頭
(on the) bridge,hashigami,橋上
(on the) street,gaitou,街頭
(on the) verge of death,hinshi,瀕死
(on) land; ground; shore,rikujou,陸上
(on) the same day,sokujitsu,即日
(one's own) age,barei,馬齢
(one's parents') home,jikka,実家
(one's) 20s; twenties,nijūdai,二十代
(one's) 30s; thirties,sanjūdai,三十代
(one's) 40s; forties,shijūdai,四十代
(one's) 50s; fifties,gojūdai,五十代
(one's) age,rei,齢
(one's) beloved car (or motorcyclebicycleetc.); (one's) wheels,aisha,愛車
(one's) exclusive use; private use; personal use,senyou,専用
(one's) gaze; direction in which one is looking,mesen,目線
(one's) identity; background; upbringing; birth (and parentage),mimoto,身元
(one's) interests,ken'eki,権益
(one's) life,jinsei,人生
(one's) older brother,niichan,兄ちゃん
(one's) self; oneself,jishin,自身
(one's) speech; expression of views; discussion,genron,言論
(one's) superior; (one's) boss; the higher-ups,joushi,上司
(one's) whereabouts,namegata,行方
(one's) whereabouts,okonae,行え
(one) line; (one) row,ichigyou,一行
(outward) appearance,teisai,体裁
(parasitic) host,yadonushi,宿主
(passenger) car; automobile,jouyousha,乗用車
(passenger) fare,unchin,運賃
(period of) a year,nenkan,年間
(period of) one year,ichinenkan,一年間
(person in) control,kanryou,管領
(personnel) change; transfer; relocation; reassignment; reshuffle,idou,異動
